ID,species_code,family,genus,species,scientific_name,native,invasivity,seRegion,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
284,oakmou,Fagaceae,Oak,Mountain Oak/Blue Oak,Quercus douglasii,no,non-invasive,introduced,60,species,decidous,,T,,
182,oakhil,Fagaceae,Oak,Hill's Oak,Quercus ellipsoidallis,yes,non-invasive,introduced,70,species,decidous,,T,0.7,0.79
181,oakgar,Fagaceae,Oak,Garry Oak,Quercus garryana,no,non-invasive,introduced,90,species,decidous,British Colombia to California; United States,T,0.7,0.79
186,oakshi,Fagaceae,Oak,Shingle Oak,Quercus imbricaria,no,non-invasive,introduced,,species,decidous,North America,T,0.7,0.79
178,oakbur,Fagaceae,Oak,Bur Oak,Quercus macrocarpa,yes,non-invasive,native,,species,decidous,North-Eastern US,T,0.76,0.79
179,oakchi,Fagaceae,Oak,Chinkapin Oak,Quercus muehlenbergii,yes,non-invasive,introduced,40,species,decidous,North America,T,0.7,0.79
183,oakpin,Fagaceae,Oak,Pin Oak,Quercus palustris,yes,non-invasive,native,70,species,decidous,North-Eastern US,T,0.69,0.77
180,oakeng,Fagaceae,Oak,English Oak,Quercus robur,no,non-invasive,introduced,15,species,decidous,Europe,T,0.79,0.81
184,oakred,Fagaceae,Oak,Red Oak,Quercus rubra,yes,non-invasive,native,80,species,decidous,"Great Lake, St. Lawrence, Carolinian, North-Eastern US",T,0.81,0.81
187,oakshu,Fagaceae,Oak,Shumard Oak,Quercus shumardii,yes,non-invasive,introduced,60,species,decidous,North America,T,0.7,0.79
188,oakspp,Fagaceae,Oak,Oak species,Quercus spp,n/a,n/a,n/a,90,genus,decidous,,,,0.79
177,oakbla,Fagaceae,Oak,Black Oak,Quercus velutina,yes,non-invasive,native,40,species,decidous,North America,T,0.68,0.79
192,oraosa,Moraceae,Osage,Osage Orange,Maclura pomifera,no,non-invasive,introduced,60,species,decidous,North America,T,0.5,0.79
308,paulon,Paulowniaceae,Paulonia,Paulonia / Princcess Tree,Paulownia tomentosa,no,non-invasive,introduced,,species,decidous,,T,,
193,pawpaw,Annonaceae,Pawpaw,Pawpaw,Asminia triloba,yes,non-invasive,introduced,90,species,decidous,,T,0.7,0.79
281,peachs,Rosaceae,Peach,peach,Prunus persica,no,non-invasive,introduced,100,species,decidous,,T,,
195,peaflo,Rosaceae,Pear/Flowering Pear,Flowering Pear,Pyrus calleryana,no,non-invasive,introduced,,species,decidous,,T,0.74,0.8
194,peacom,Rosaceae,Pear/Flowering Pear,Common Pear,Pyrus communis,no,non-invasive,introduced,50,species,decidous,,T,0.5,0.8
197,peapea,Rosaceae,Pear/Flowering Pear,Pear/Flowering Pear species,Pyrus spp,n/a,non-invasive,introduced,,species,decidous,,T,0.5,0.8
196,peahar,Rosaceae,Pear/Flowering Pear,Harbin Pear,Pyrus ussuriensis,no,non-invasive,introduced,,species,decidous,Northeast Asia,T,0.5,0.8
198,peawee,Fabaceae,Peashrub,Weeping Peashrub,Caragana arborescens,no,invasive,introduced,,species,decidous,"Siberia, Manchuria",T,0.6,0.79
199,persim,Ebenaceae,Persimmon,Persimmon,Diospyros virginiana,no,non-invasive,introduced,30,species,decidous,North America,T,0.7,0.79
61,coramu,Rutaceae,Phellodendron,Amur Corktree,Phellodendron amurense,no,non-invasive,introduced,,species,decidous,"China, Japan",T,0.71,0.79
201,pinbri,Pinaceae,Pine,Bristlecone Pine,Pinus aristata,no,non-invasive,introduced,30,species,evergreen,"Mountains, California to Colorado; United States",T,0.6,0.79
202,pinjac,Pinaceae,Pine,Jack Pine,Pinus banksiana,yes,non-invasive,native,,species,evergreen,North America: Nova Scotia to New York and Minnesota; United States,T,0.53,0.79
311,pinwes,Pinaceae,Pine,Western White Pine,Pinus monticola,no,non-invasive,introduced,80,species,evergreen,Pacific Northwest,T,,0.79
203,pinmug,Pinaceae,Pine,Mugo Pine,Pinus mugo,no,non-invasive,introduced,,species,evergreen,Europe,T,0.6,0.79
200,pinaus,Pinaceae,Pine,Austrian Pine,Pinus nigra,no,non-invasive,introduced,50,species,evergreen,Southern Europe,T,0.63,0.79
205,pinpon,Pinaceae,Pine,Ponderosa Pine,Pinus ponderosa,no,non-invasive,introduced,30,species,evergreen,North America,T,0.6,0.79
206,pinred,Pinaceae,Pine,Red Pine,Pinus resinosa,yes,non-invasive,native,,species,evergreen,New Foundland to Pennsylvania and Minnesota; United States,T,0.7,0.79
204,pinpit,Pinaceae,Pine,Pitch Pine,Pinus rigida,yes,non-invasive,native,,species,evergreen,North Amerika: New Brunswick to Kentucky and California,T,0.6,0.79
209,pinspp,Pinaceae,Pine,Pine species,Pinus spp,n/a,n/a,n/a,30,genus,evergreen,,,,0.79
210,pinwhi,Pinaceae,Pine,White Pine,Pinus strobus,yes,non-invasive,native,75,species,evergreen,"South-Eastern Canada, North-Eastern US",T,0.75,0.79
208,pinsco,Pinaceae,Pine,Scot's Pine,Pinus sylvestris,no,invasive,introduced,15,species,evergreen,Eurasia,T,0.53,0.79
306,pinlob,Pinaceae,Pine,Loblolly Pine,Pinus taeda,no,non-invasive,introduced,50,species,evergreen,,T,,
305,pinhim,Pinaceae,Pine,Himalayan Pine,Pinus wallichiana,no,non-invasive,introduced,30,species,evergreen,,T,,
249,sycame,Platanaceae,Plane-Sycamore,Sycamore,Platanus occidentalis,yes,non-invasive,introduced,100,species,decidous,North America,T,0.69,0.86
213,plaspp,Platanaceae,Plane-Sycamore,Plane-Sycamore species,Platanus spp,n/a,n/a,n/a,,genus,decidous,,,,0.86
211,plalon,Platanaceae,Plane-Sycamore,London Plane,Platanus x acerifolia,no,non-invasive,introduced,50,species,decidous,,T,0.68,0.86
212,x,plantable spot,plantable spot,plantable spot,plantable spot,n/a,n/a,n/a,,other,,,,,
221,popwhi,Salicaceae,Poplar,European White Poplar,Populus alba,no,non-invasive,introduced,90,species,decidous,"Wurope, N africa, West-Central Asia",T,0.45,0.8
217,popbal,Salicaceae,Poplar,Balsam Poplar,Populus balsamifera,yes,non-invasive,native,30,species,decidous,Across Canada,T,0.3,0.8
62,coteas,Salicaceae,Poplar,Eastern Cottonwood,Populus deltoides,yes,non-invasive,introduced,,species,decidous,"Central U.S.A., South Eastern Border of Canada",T,0.35,0.85
16,asplar,Salicaceae,Poplar,Largetooth Aspen,Populus grandidentata,yes,non-invasive,native,75,species,decidous,"Quebec to Ontario, Eastern United States",T,0.35,0.8
218,popbla,Salicaceae,Poplar,Black Poplar,Populus nigra,no,non-invasive,introduced,,species,decidous,"Wurope, N africa, West-Central Asia",T,0.4,0.8
220,popspp,Salicaceae,Poplar,Poplar species,Populus spp,n/a,n/a,n/a,60,genus,decidous,,,,0.8
17,asptre,Salicaceae,Poplar,Trembling Aspen,Populus tremuloides,yes,non-invasive,native,,species,decidous,North America: Across Canada and Southern US,T,0.48,0.74
219,popcar,Salicaceae,Poplar,Carolina Poplar,Populus x canadensis,yes,non-invasive,introduced,,species,decidous,,T,0.35,0.8
123,hybpop,Salicaceae,Poplar,Poplar hybrid,Populus x hybida,n/a,non-invasive,introduced,30,species,decidous,,T,0.3,0.8
224,redbud,Fabaceae,Redbud,Redbud,Cercis canadensis,yes,non-invasive,introduced,80,species,decidous,"Eastern North America from Mexico north, Pelee Island",T,0.69,0.79
225,reddaw,Taxodiaceae,Redwood,Dawn Redwood,Metasequoia glyptostroboides,no,non-invasive,introduced,,species,evergreen,"Szechwan, China",T,0.87,0.79
227,rose,Rosaceae,Rose,rose,Rosa spp,n/a,non-invasive,introduced,60,species,decidous,,T,,
228,rossha,Malvaceae,Rose-of-Sharon,Rose-of-Sharon,Hibiscus syriacus,no,non-invasive,introduced,,species,decidous,,T,,
191,olirus,Elaeagnaceae,Russian Olive,Russian Olive,Elaeagnus angustifolia,no,invasive,introduced,,species,decidous,Europe and Western Asia,T,0.56,0.87
75,eldspp,Sambucaceae,Sambucus sp.,Elder species,Sambucus spp,n/a,n/a,n/a,25,genus,decidous,,T,,0.7
229,sassaf,Lauraceae,Sassafras,Sassafras,Sassafras albidum,yes,non-invasive,introduced,90,species,decidous,North America,T,0.69,0.79
286,redwoo,Taxodiaceae,Sequoia,Redwood,Sequoia sempervirens,no,non-invasive,introduced,,species,evergreen,California,T,,
231,serdow,Rosaceae,Serviceberry,Downy Serviceberry,Amelanchier arborea,no,non-invasive,introduced,,species,decidous,North America,T,0.8,0.77
230,servic,Rosaceae,Serviceberry,Serviceberry,Amelanchier canadensis,yes,non-invasive,native,15,species,decidous,North America,T,0.8,0.77
232,sersmo,Rosaceae,Serviceberry,Smooth-Leaved Serviceberry,Amelanchier laevis,yes,non-invasive,introduced,10,species,decidous,North America,T,0.8,0.77
233,serspp,Rosaceae,Serviceberry,Serviceberry species,Serviceberry spp,n/a,n/a,n/a,40,genus,decidous,,,,0.77
234,silcar,Styracaceae,Silverbell,Carolina Silverbell,Halesia carolina,no,non-invasive,introduced,30,species,decidous,North America,T,0.5,0.79
235,smotre,Anacardiaceae,Smoketree,Smoketree,Cotinus coggygria,no,non-invasive,introduced,,species,decidous,Southern Europe to Asia,T,0.6,0.79
236,snag,snag,snag,snag,snag,n/a,n/a,n/a,,other,,,,,
304,jappag,Fabaceae,Sophora,Japanese Pagoda Tree,Sophora japonica,no,non-invasive,introduced,,species,decidous,,T,,
86,euoeur,Celastraceae,Spindletree,European Euonymus,Euonymus europaeus,no,non-invasive,introduced,15,species,decidous,Europe,T,0.5,0.79
87,euospp,Celastraceae,Spindletree sp.,Euonymus species,Euonymus spp,n/a,n/a,n/a,,genus,decidous,,T,,0.7
240,sprnor,Pinaceae,Spruce,Norway Spruce,Picea abies,no,non-invasive,introduced,70,species,evergreen,Europe and Asia,T,0.71,0.79
239,spreng,Pinaceae,Spruce,Engleman Spruce,Picea englemannii,no,non-invasive,introduced,50,species,evergreen,Western North America,T,0.75,0.79
244,sprwhi,Pinaceae,Spruce,White Spruce,Picea glauca,yes,non-invasive,native,60,species,evergreen,North America: Across Canada,T,0.72,0.79
237,sprbla,Pinaceae,Spruce,Black Spruce,Picea mariana,yes,non-invasive,native,30,species,evergreen,"North America: Alaska and Northern States to mountains of Virginia,  Across Canada",T,0.58,0.79
242,sprser,Pinaceae,Spruce,Serbian Spruce,Picea omrika,no,non-invasive,introduced,50,species,evergreen,,T,0.78,0.79
238,sprblu,Pinaceae,Spruce,Blue Spruce,Picea pungens,no,non-invasive,introduced,60,species,evergreen,US Rocky Mountains,T,0.77,0.79
241,sprred,Pinaceae,Spruce,Red Spruce,Picea rubens,yes,non-invasive,native,60,species,evergreen,,T,0.75,0.79
243,sprspp,Pinaceae,Spruce,Spruce species,Picea spp,n/a,n/a,n/a,,genus,evergreen,,,,0.79
247,sumspp,Anacardiaceae,Sumac,Sumac sp,Rhus spp,n/a,n/a,n/a,20,genus,decidous,,,,0.7
246,sumacs,Anacardiaceae,Sumac,Sumac,Rhus typhina,yes,non-invasive,native,,species,decidous,North shore of Lake Superior east to Nova Scotia,T,0.8,0.79
248,sweetg,Hamamelidaceae,Sweetgum,Sweetgum,Liquidambar styraciflua,no,non-invasive,introduced,,species,decidous,North America,T,0.45,0.82
226,werece,Cupressaceae,Thuja (Cedar),Western Red Cedar,Thuja plicata,no,non-invasive,introduced,90,species,evergreen,,T,0.7,0.7
252,treeof,Simaroubaceae,Tree of Heaven,Tree of Heaven,Ailanthus altissima,no,invasive,introduced,40,species,decidous,China,T,0.49,0.79
253,tulipt,Magnoliaceae,Tulip-Tree,Tulip Tree,Liriodendron tulipifera,yes,non-invasive,introduced,,species,decidous,North America,T,0.77,0.9
254,unknow,unknown,unknown,unknown species,unknown species,n/a,n/a,n/a,,other,,,,,
285,wayfar,Rutaceae,Viburnum,Wayfaring Tree,Viburnum lantana,no,non-invasive,introduced,,species,decidous,,T,,
176,nannyb,Rutaceae,Viburnum,Nannyberry,Viburnum lentago,yes,non-invasive,introduced,100,species,decidous,"Hudson Bay, South to Georgia and Mississippi; United States",T,0.6,0.79
255,vibspp,Rutaceae,Viburnum,Nannyberry,Viburnum spp,n/a,n/a,n/a,,genus,decidous,,,,0.7
68,devils,Araliaceae,Walkingstick,Devils-walkingstick,Aralia spinosa,no,invasive,introduced,100,species,decidous,South Eastern U.S.A.,T,0.7,0.79
36,butter,Juglandaceae,Walnut/Butternut,Butternut,Juglans cinerea,yes,non-invasive,native,70,species,decidous,Eastern North America,T,0.63,0.91
310,walman,Juglandaceae,Walnut/Butternut,Manchrurian Walnut,Juglans mandshurica,no,non-invasive,introduced,10,species,decidous,Eastern Asia,T,,
256,walbla,Juglandaceae,Walnut/Butternut,Black Walnut,Juglans nigra,yes,non-invasive,native,,species,decidous,"Southern Ontario, North Eastern US",T,0.67,0.91
257,waleng,Juglandaceae,Walnut/Butternut,English Walnut,Juglans regia,no,non-invasive,introduced,,species,decidous,"Southeast Europe, Western Asia; United States",T,0.7,0.91
258,walspp,Juglandaceae,Walnut/Butternut,Walnut/Butternut species,Juglans spp,n/a,n/a,n/a,90,genus,decidous,,,,0.91
271,wilwhi,Salicaceae,Willow,White Willow,Salix alba,no,non-invasive,introduced,100,species,decidous,Europe,T,0.45,0.79
265,wilpea,Salicaceae,Willow,Peach Leaf Willow,Salix amygdaloides,no,non-invasive,native,,species,decidous,,T,0.35,0.79
270,wilwee,Salicaceae,Willow,Golden Weeping Willow,Salix babylonica,no,non-invasive,introduced,,species,decidous,,T,0.35,0.79
315,wilbeb,Salicaceae,Willow,Bebb's Willow,Salix bebbiana,yes,non-invasive,introduced,,species,decidous,North America,T,,
264,wilgoa,Salicaceae,Willow,Goat Willow,Salix caprea,no,non-invasive,introduced,,species,decidous,,T,0.45,0.79
266,wilpus,Salicaceae,Willow,Pussy Willow,Salix discolor,yes,non-invasive,native,,species,decidous,"Across Canada's provinces, North-Eastern US",T,0.4,0.79
263,wilcra,Salicaceae,Willow,Crack Willow,Salix fragilis,no,non-invasive,introduced,,species,decidous,,T,0.35,0.79
260,wilbay,Salicaceae,Willow,Bay (leaved) Willow,Salix laurifolia,no,non-invasive,introduced,,species,decidous,,T,0.35,0.79
267,wilshi,Salicaceae,Willow,Shining Willow,Salix lucida,yes,non-invasive,introduced,5,species,decidous,,T,0.35,0.79
262,wilcor,Salicaceae,Willow,Corkscrew Willow,Salix matsudana,no,non-invasive,introduced,100,species,decidous,North Asia,T,0.54,0.79
261,wilbla,Salicaceae,Willow,Black Willow,Salix nigra,yes,non-invasive,native,,species,decidous,,T,0.47,0.79
317,wilfal,Salicaceae,Willow,False mountain willow,Salix pseudomonticola,yes,non-invasive,introduced,100,species,decidous,North America,T,,
316,wilarc,Salicaceae,Willow,Arctic Willow,Salix purpurea,no,non-invasive,introduced,,species,decidous,North America,T,,
269,wilspp,Salicaceae,Willow,Willow species,Salix spp,n/a,n/a,n/a,,genus,decidous,,,,0.79
272,wingnu,Juglandaceae,Wingnut,Wingnut,Pterocarya fraxinifolia,no,non-invasive,introduced,100,species,decidous,,T,0.6,0.79
108,hazwit,Hamamelidaceae,Witch hazel,Witch hazel,Hamamelis virginiana,yes,non-invasive,introduced,,species,decidous,North America,T,0.7,0.79
274,yellow,Fabaceae,Yellowood,American Yellowood,Cladrastis lutea,no,non-invasive,introduced,15,species,decidous,,T,0.7,0.79
276,yeweur,Taxaceae,Yew,European Yew,Taxus baccata,no,non-invasive,introduced,25,species,evergreen,,T,0.6,0.79
275,yewcom,Taxaceae,Yew,Common Yew,Taxus canadensis,yes,non-invasive,introduced,25,species,evergreen,,T,0.7,0.79
277,yewjap,Taxaceae,Yew,Upright Japanese Yew,Taxus cuspidata,no,non-invasive,introduced,25,species,evergreen,Japan,T,0.71,0.79
278,yewspp,Taxaceae,Yew,Yew species,Yew spp,n/a,n/a,n/a,,genus,evergreen,,,,0.79
309,zeljap,Ulmaceae,Zelkova,Japanese zelkova,Zelkova serrata,no,non-invasive,introduced,,species,decidous,Asia,T,,
